"Quotation Report - Date : January-28, 2026 11:00 AM",,,,,,,,,,,,,
No,Number,Company,Date,Type,Client,Project Name,Description,Material,Material Code,Quo. Value,Cur.,MVL Contact,Status
9055,Q-1192-F7975,FIRESTOP,22 Aug 2017,IQ,Modern B.C.,"G+8+ Roofs (GYM) Residential Building Plot No 10-003 Nadd Hessa, Dubai Silicon Oasis Dubai (TOPAZ 1 ) LWO# 111/24",SUPPLY OF INSS1186,Firestop/ DC 315,Fire,3000,AED,Samar T.,Order
9056,Q-1005-L4048,MACRO,21 Aug 2017,IQ,Debet U.M.,Air Freight Charges From Sharjah To Baku,Air Freight Charges From Sharjah To Baku,Transportation,Logistics,420,USD, ,Order
9057,Q-1192-F7974,FIRESTOP,21 Aug 2017,IQ,Anc C.L.,"Labour Accomodation (G+3 Typ Upper Roof) Plot # 365-173 At Al Quoz Industrial 2nd, Dubai",Supply Of INSS1186,Firestop/ DC 315,Fire,33250,AED,Waleed B.M.,Quotation
9058,RFQ-1581-M4101,MW-OCS,21 Aug 2017,RFQ,Newberry T.&.,1581- W912D2-16-C-0115 Fuel Tank Enhancement,NEWBERRY TANKS,Mechanical Items,Mechanical,99624.44,USD, ,Order
9059,Q-1192-F7961A,FIRESTOP,20 Aug 2017,IQ,Rashid M.A.,G+1 Hatta Area,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,930,AED,Waleed B.M.,Order
9060,Q-1192-F7973,FIRESTOP,20 Aug 2017,IQ,Verger D.U.,"CITY LAND MALL @ WADI AL SAFA, DUBAI",SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,38000,AED,Waleed B.M.,Quotation
9061,Q-1192-F7708A,FIRESTOP,17 Aug 2017,IQ,Al A.E.,P-830 Al Jadaf REf: SS/17LPO/1106,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,510,AED,Samar T.,Order
9062,Q-1192-F7972,FIRESTOP,17 Aug 2017,IQ,Alpha P.C.,G+4P+15 TYP Floors Residential Building At JVC,Supply Of MEP Materials,Firestop/ DC 315,Fire,33209,AED,Waleed B.M.,Quotation
9063,Q-1192-F7971,FIRESTOP,17 Aug 2017,IQ,Al B.C.,FIRESTOPPING PROJECT,SUPPLY OF DC68 SPRAY TO PROTECT,Firestop/ DC 315,Fire,2125,AED,Karim E.,Order
9064,Q-1192-F7970,FIRESTOP,17 Aug 2017,IQ,Kele C.L.,FIRESTOPPING PROJECT,SUPPLY OF INSS1186,Firestop/ DC 315,Fire,613.88,AED,Waleed B.M.,Quotation
