poNumber,poDate,poName,supplier,originalValue,currency,mainOrderId,orderId,entityCode,entity,material,materialCode,poVersion,isChangeOrder,year,month,yearMonth,valueUSD,poSpendUSD,poType,changeOrderGroup,changeOrderTotal,project
RFPO-1005-M7067-1,05 Jul 2023,PO for 32mm dia pressure reducing valve,Joint Gulf Business Establishment,2125.0,SAR,1005,6435,M7067,MICRON,Mechanical,Mechanical,1,False,2023,7,2023-07,566.67,566.67,Base PO,1,1,PO for 32mm dia pressure reducing valve
RFPO-1005-M7068-1,05 Jul 2023,PO for Trerice Thermometer,ASEM FOR ELECTRO MECHANICAL SERVICES TRADING COMPANY,446.0,SAR,1005,6436,M7068,MICRON,Mechanical,Mechanical,1,False,2023,7,2023-07,118.93,118.93,Base PO,1,1,PO for Trerice Thermometer
RFPO-1005-V7074-1,04 Jul 2023,PO for Basket Model BT 150 (300 x 150 ),ISAM KABBANI & PARTNERS FOR BUILDING & CONSTRUCTION MATERIALS,12912.64,SAR,1005,6430,V7074,MICRON,Various,Various,1,False,2023,7,2023-07,3443.37,3443.37,Base PO,1,1,PO for Basket Model BT 150 (300 x 150 )
RFPO-4814-V40008-1,04 Jul 2023,PO for THIRD PARTY INSPECTION OF BLAST RATED AND NO BLAST RATED ALUMINUM DOORS,TUV SUD MIDDLE EAST LLC,1000.0,AED,4814,6431,V40008,MACRO,Various,Various,1,False,2023,7,2023-07,272.29,272.29,Base PO,1,1,PO for THIRD PARTY INSPECTION OF BLAST RATED AND NO BLAST RATED ALUMINUM DOORS
RFPO-5532-V40008-1,03 Jul 2023,PO for 10mm X 6 meter,CICON BUILDING MATERIALS,4227.9800000000005,AED,5532,6427,V40008,MACRO,Various,Various,1,False,2023,7,2023-07,1151.25,1151.25,Base PO,1,1,PO for 10mm X 6 meter
RFPO-5532-V40007-1,03 Jul 2023,PO for EF Tapping Tee Saddle 200x63mm,TITANIUM BUILDING AND CONSTRUCTION MATERIALS TRAADING,10824.98,AED,5532,6429,V40007,MVL Greece,Various,Various,1,False,2023,7,2023-07,2947.58,2947.58,Base PO,1,1,PO for EF Tapping Tee Saddle 200x63mm
RFPO-4814-V40007-1,26 Jun 2023,PO for Supply Delivery of Heavy Duty Racking with Wire Mesh Decking,FTC Qatar W.L. L,164000.0,QAR,4814,6425,V40007,MVL Greece,Various,Various,1,False,2023,6,2023-06,45054.95,45054.95,Base PO,1,1,PO for Supply Delivery of Heavy Duty Racking with Wire Mesh Decking
RFPO-1005-V7072-2,22 Jun 2023,"PO for Mada Plus Fire Resistant Plasterboard, 16mm Thick",Fekratek Al Raedah Co.,43896.38,SAR,1005,6419,V7072,MICRON,Various,Various,2,True,2023,6,2023-06,11705.7,11705.7,Change Order,2,2,"PO for Mada Plus Fire Resistant Plasterboard, 16mm Thick"
RFPO-5532-V40006-1,21 Jun 2023,PO for GI UNISTRUT CLAMP 2 INCH,Arabian International Industries LLC,1515.0,AED,5532,6422,V40006,MACRO,Various,Various,1,False,2023,6,2023-06,412.53,412.53,Base PO,1,1,PO for GI UNISTRUT CLAMP 2 INCH
RFPO-1005-V7072-1,20 Jun 2023,"PO for Mada Plus Fire Resistant Plasterboard, 16mm Thick",Fekratek Al Raedah Co.,42287.06,SAR,1005,6419,V7072,MICRON,Various,Various,1,False,2023,6,2023-06,11276.55,11276.55,Base PO,2,2,"PO for Mada Plus Fire Resistant Plasterboard, 16mm Thick"
