orderId,mainOrderId,poNumber,groupTotalValueUSD,groupPOCount
RFPO-6705-E6804,6705,RFPO-6705-E6804-1,245712.32,2
RFPO-6705-E6804,6705,RFPO-6705-E6804-2,245712.32,2
RFPO-6705-V40136,6705,RFPO-6705-V40136-1,4897.11,2
RFPO-6705-V40136,6705,RFPO-6705-V40136-2,4897.11,2
RFPO-6705-M4026,6705,RFPO-6705-M4026-1,102167.46,2
RFPO-6705-M4026,6705,RFPO-6705-M4026-2,102167.46,2
RFPO-7139-V40040,7139,RFPO-7139-V40040-1,9819.98,2
RFPO-7139-V40040,7139,RFPO-7139-V40040-2,9819.98,2
RFPO-7139-S9130,7139,RFPO-7139-S9130-1,213400.0,2
RFPO-7139-S9130,7139,RFPO-7139-S9130-2,213400.0,2
RFPO-6705-V40061,6705,RFPO-6705-V40061-1,15689.84,2
RFPO-6705-V40061,6705,RFPO-6705-V40061-2,15689.84,2
RFPO-6705-V40086,6705,RFPO-6705-V40086-1,37736.42,2
RFPO-6705-V40086,6705,RFPO-6705-V40086-2,37736.42,2
RFPO-6718-V40029,6718,RFPO-6718-V40029-1,136866.91,2
RFPO-6718-V40029,6718,RFPO-6718-V40029-2,136866.91,2
RFPO-6718-V40030,6718,RFPO-6718-V40030-1,28499.15,2
RFPO-6718-V40030,6718,RFPO-6718-V40030-2,28499.15,2
RFPO-6718-V40019,6718,RFPO-6718-V40019-1,9725.1,2
RFPO-6718-V40019,6718,RFPO-6718-V40019-2,9725.1,2
RFPO-1569-V4269,1569,RFPO-1569-V4269-1,21378.75,3
RFPO-1569-V4269,1569,RFPO-1569-V4269-2,21378.75,3
RFPO-1569-V4269,1569,RFPO-1569-V4269-3,21378.75,3
RFPO-1569-14069,1569,RFPO-1569-14069-1,89034.72,3
RFPO-1569-14069,1569,RFPO-1569-14069-2,89034.72,3
RFPO-1569-14069,1569,RFPO-1569-14069-3,89034.72,3
RFPO-7139-V40010A,7139,RFPO-7139-V40010A-1,22088.59,2
RFPO-7139-V40010A,7139,RFPO-7139-V40010A-2,22088.59,2
RFPO-6705-M4101,6705,RFPO-6705-M4101-1,1138767.0,4
RFPO-6705-M4101,6705,RFPO-6705-M4101-2,1138767.0,4
RFPO-6705-M4101,6705,RFPO-6705-M4101-3,1138767.0,4
RFPO-6705-M4101,6705,RFPO-6705-M4101-4,1138767.0,4
RFPO-7039-M4101,7039,RFPO-7039-M4101-1,7549.0,2
RFPO-7039-M4101,7039,RFPO-7039-M4101-2,7549.0,2
RFPO-6705-V40028,6705,RFPO-6705-V40028-1,71427.15,2
RFPO-6705-V40028,6705,RFPO-6705-V40028-2,71427.15,2
RFPO-5532-T1003,5532,RFPO-5532-T1003-1,42190.1,2
RFPO-5532-T1003,5532,RFPO-5532-T1003-2,42190.1,2
RFPO-7098-E6802,7098,RFPO-7098-E6802-1,283139.14,2
RFPO-7098-E6802,7098,RFPO-7098-E6802-2,283139.14,2
RFPO-7139-V40031,7139,RFPO-7139-V40031-1,133438.4,2
RFPO-7139-V40031,7139,RFPO-7139-V40031-3,133438.4,2
RFPO-6705-M4104,6705,RFPO-6705-M4104-1,46850.0,2
RFPO-6705-M4104,6705,RFPO-6705-M4104-2,46850.0,2
RFPO-7139-E6811,7139,RFPO-7139-E6811-1,11200.0,2
