poNumber,poDate,poName,supplier,originalValue,currency,valueUSD,poSpendUSD,tax,taxUSD,netTotal,netTotalUSD,mainOrderId,orderId,entityCode,entity,material,materialCode,poVersion,isChangeOrder,poType,changeOrderGroup,changeOrderTotal,year,month,yearMonth,project
RFPO-5655-T1000-1,01 Nov 2023,PO for RACU X-012 TESTIGN EQUIPMENT - AAB TOOLS,Ali Asger & Brothers LLC,4690.0,AED,1277.06,1277.06,234.5,63.85,4924.5,1340.91,5655,RFPO-5655-T1000,T1000,MVL TRADING,Tools,Tools,1,False,Base PO,1,1,2023,11,2023-11,"BIOT-121.12 N4008422F4366/N4008421R0079 X012 EPROJECT 1575276 REPLACE AC UNITS, UNACCOMPANIED PERSONNEL HOURSING (UPH) 28"
RFPO-5655-T1001-1,01 Nov 2023,PO for RACU X-012 TESTIGN EQUIPMENT - ANBI,ANBI GENERAL TRADING LLC,13300.0,AED,3621.51,3621.51,665.0,181.08,13965.0,3802.59,5655,RFPO-5655-T1001,T1001,MACRO,Tools,Tools,1,False,Base PO,1,1,2023,11,2023-11,"BIOT-121.12 N4008422F4366/N4008421R0079 X012 EPROJECT 1575276 REPLACE AC UNITS, UNACCOMPANIED PERSONNEL HOURSING (UPH) 28"
RFPO-6168-V40024A-1,01 Nov 2023,PO for HVAC Exhaust Fans Units,Greenheck Fan Corporation,2600.0,USD,2600.0,2600.0,0.0,0,2600.0,2600.0,6168,RFPO-6168-V40024A,V40024A,MVL USA JV LLC,Building Materials,Various,1,False,Base PO,1,1,2023,11,2023-11,"BIOT-121.37 N4008423F4277 REPAIRS TO ORDNANCE OPERATIONS, F-541"
RFPO-1192-M4103-1,31 Oct 2023,"PO for Saudi Rockwool unfaced slab insulation 50mm, 64 kg/m3 1.2X0.6 M",Century Mechanical Systems,4976.64,AED,1355.11,1355.11,248.832,67.76,5225.472000000001,1422.87,1192,RFPO-1192-M4103,M4103,MACRO,Mechanical Items,Mechanical,1,False,Base PO,1,1,2023,10,2023-10,MVL Firestop Bldg Material Trdg LLC
RFPO-5532-V40022-1,31 Oct 2023,PO for Wires,Kelly & Hayes Electrical Industrial & Plumbing Supplies,8601.0,USD,8601.0,8601.0,0.0,0,8601.0,8601.0,5532,RFPO-5532-V40022,V40022,MVL USA JV LLC,Building Materials,Various,1,False,Base PO,1,1,2023,10,2023-10,BIOT-121 N4008421D0082/N4008421R0079 AEC DB DBB MACC
RFPO-5532-V40019A-1,31 Oct 2023,PO for Electrical Materials for Moody Office and Clinic,Extol International Trading LLC,56124.600000000006,AED,15282.4,15282.4,0.0,0.0,56124.600000000006,15282.4,5532,RFPO-5532-V40019A,V40019A,MVL USA JV LLC,Building Materials,Various,1,False,Base PO,1,1,2023,10,2023-10,BIOT-121 N4008421D0082/N4008421R0079 AEC DB DBB MACC
RFPO-5684-V40002A-1,31 Oct 2023,PO for 11422EKHSR: Board Layers,BMET Building Materials Trading LLC,6698.180000000001,AED,1823.87,1823.87,0.0,0.0,6698.180000000001,1823.87,5684,RFPO-5684-V40002A,V40002A,MVL USA JV LLC,Building Materials,Various,1,False,Base PO,1,1,2023,10,2023-10,"BIOT-121.11 N4008421R0079 - X011 1634252, QP9015 - REPAIR FIRE PROTECTION SYSTEM, FACILITY 917"
RFPO-1005-V7136-2,30 Oct 2023,PO for,Al Shaikh International Limited Company,45127.0,SAR,12033.87,12033.87,6769.05,1805.08,51896.05,13838.95,1005,RFPO-1005-V7136,V7136,MICRON,Misc.,Various,2,True,Change Order,2,2,2023,10,2023-10,Transportation Of Expansion Joints From China To Nepal
RFPO-1005-V7142-1,30 Oct 2023,"PO for 2nd TPI visit at Vendor – Petraa, KSA (remote location) - Above rate is inclusive of food, accommodation, and transportation.",TUV SUD MIDDLE EAST LLC,392.0,USD,392.0,392.0,19.6,19.6,411.6,411.6,1005,RFPO-1005-V7142,V7142,MICRON,Misc.,Various,1,False,Base PO,1,1,2023,10,2023-10,Transportation Of Expansion Joints From China To Nepal
RFPO-5532-M4006-1,30 Oct 2023,"PO for ELCOMETER 270 PINHOLE DETECTOR: 9, 67.5 AND 90V",Elcometer L.L.C.,9755.0,AED,2656.23,2656.23,487.75,132.81,10242.75,2789.04,5532,RFPO-5532-M4006,M4006,MVL USA JV LLC,Machine / Equipments,Mechanical,1,False,Base PO,1,1,2023,10,2023-10,BIOT-121 N4008421D0082/N4008421R0079 AEC DB DBB MACC
RFPO-1005-E7076-1,30 Oct 2023,PO for 1 LF009M2-QT,TIC LIGHT ELECTRICAL CORP,1270.03,USD,1270.03,1270.03,0.0,0,1270.03,1270.03,1005,RFPO-1005-E7076,E7076,MICRON,Electrical,Electrical,1,False,Base PO,1,1,2023,10,2023-10,Transportation Of Expansion Joints From China To Nepal
RFPO-5829-V4355-1,30 Oct 2023,PO for ACI Concrete Transportation Construction Inspector   Training & Certification,BUILDACT FZ LLC,19650.0,AED,5350.58,5350.58,982.5,267.53,20632.5,5618.11,5829,RFPO-5829-V4355,V4355,MVL Nepal,Building Materials,Various,1,False,Base PO,1,1,2023,10,2023-10,"ORD-5829 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, United Arab Emirates"
RFPO-1005-M7082-1,27 Oct 2023,PO for Sealtech,ALI MANEA ALYAMI TRADING EST.,2305.0,SAR,614.67,614.67,345.75,92.2,2650.75,706.87,1005,RFPO-1005-M7082,M7082,MICRON,Mechanical Items,Mechanical,1,False,Base PO,1,1,2023,10,2023-10,Transportation Of Expansion Joints From China To Nepal
RFPO-1005-V7140-1,27 Oct 2023,PO for GALA BRONZ BALL VLV #150 NPT (1251) 1-1/2 inch MADE IN USA,SALEH ZAID ALQURAISHI & PARTNERS TRAD.CO.LTD.,216.0,SAR,57.6,57.6,32.4,8.64,248.4,66.24,1005,RFPO-1005-V7140,V7140,MICRON,Misc.,Various,1,False,Base PO,1,1,2023,10,2023-10,Transportation Of Expansion Joints From China To Nepal
RFPO-1192-V4335-1,27 Oct 2023,PO for SLAB WITHOUT FACING (SXXX) Density: 160Kg/M3 Thickness: 50mm Size:1.2 MtrX 0.6 Mtr,FUJAIRAH ROCKWOOL FACTORY,12546.0,AED,3416.2,3416.2,627.3,170.81,13173.3,3587.01,1192,RFPO-1192-V4335,V4335,MVL Nepal,Building Materials,Various,1,False,Base PO,1,1,2023,10,2023-10,MVL Firestop Bldg Material Trdg LLC
RFPO-5829-M4105-1,26 Oct 2023,"PO for SUPPLY, TESTING AND COMMISSIONING OF PRIMARY CHILLED WATER PUMP 22 LPS @ 17 M",Al Tayer Engineering L.L.C.,78000.0,AED,21238.94,21238.94,3900.0,1061.95,81900.0,22300.88,5829,RFPO-5829-M4105,M4105,MACRO,Machine / Equipments,Mechanical,1,False,Base PO,1,1,2023,10,2023-10,"ORD-5829 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, United Arab Emirates"
RFPO-5829-M4000-1,26 Oct 2023,PO for TS07 2,GECO ENGINEERING EQUIPMENTS TRADING L.L.C,50730.0,AED,13813.48,13813.48,2536.5,690.67,53266.5,14504.15,5829,RFPO-5829-M4000,M4000,FIRESTOP,Machine / Equipments,Mechanical,1,False,Base PO,1,1,2023,10,2023-10,"ORD-5829 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, United Arab Emirates"
RFPO-5503-V40010-1,26 Oct 2023,PO for EATON 93PM,OneNet Digital Solutions,313400.0,EURO,340652.17,340652.17,75216.0,81756.52,388616.0,422408.7,5503,RFPO-5503-V40010,V40010,MACRO,Misc.,Various,1,False,Base PO,1,1,2023,10,2023-10,GRE-121 N6247022C0002 Communications Center - Souda Bay
RFPO-6168-V40021-1,26 Oct 2023,PO for Hardware for Acoustic Tiles,MISAR TRADING CO. ( L L C),191.36,AED,52.11,52.11,0.0,0.0,191.36,52.11,6168,RFPO-6168-V40021,V40021,MVL USA JV LLC,Building Materials,Various,1,False,Base PO,1,1,2023,10,2023-10,"BIOT-121.37 N4008423F4277 REPAIRS TO ORDNANCE OPERATIONS, F-541"
RFPO-5193-E6802-1,25 Oct 2023,PO for 19,Aklaniat Technologies LTD,315.0,SAR,84.0,84.0,47.25,12.6,362.25,96.6,5193,RFPO-5193-E6802,E6802,MACRO,Electrical,Electrical,1,False,Base PO,1,1,2023,10,2023-10,"(KSA 126) W912ER21C0014 KHAMIS SIMULATOR FACILITY, KSA"
RFPO-1569-O53-1,25 Oct 2023,PO for DESK DELL Opti 7000 MT Ci7 12700  32GB 1TBSSD 4GB GRAPHICS DOS 1YR  PRO SUPPORT,Kyoto Technologies,3742.0,AED,1018.92,1018.92,187.1,50.95,3929.1,1069.87,1569,RFPO-1569-O53,O53,MACRO,Computer Peripherals,Office Assets,1,False,Base PO,1,1,2023,10,2023-10,MVL Group Office Related POs
RFPO-6168-V40019-1,25 Oct 2023,"PO for Diffusers, Registers, and Grilles",Faisal Jassim Industries LLC,3307.5,AED,900.61,900.61,0.0,0.0,3307.5,900.61,6168,RFPO-6168-V40019,V40019,MVL USA JV LLC,Building Materials,Various,1,False,Base PO,1,1,2023,10,2023-10,"BIOT-121.37 N4008423F4277 REPAIRS TO ORDNANCE OPERATIONS, F-541"
RFPO-1192-V4458-1,24 Oct 2023,"PO for Delivery note : A4 size (21X29.7cm) 1+3ply (W+Y+P+B) 4 color, numbering 10 books printing",SMILE COLOR,575.0,AED,156.57,156.57,28.75,7.83,603.75,164.4,1192,RFPO-1192-V4458,V4458,FIRESTOP,Building Materials,Various,1,False,Base PO,1,1,2023,10,2023-10,MVL Firestop Bldg Material Trdg LLC
RFPO-5655-V40005-1,24 Oct 2023,PO for Chiller Base,"Scott & From Co., Inc.",11121.0,USD,11121.0,11121.0,0.0,0,11121.0,11121.0,5655,RFPO-5655-V40005,V40005,MVL Greece,Building Materials,Various,1,False,Base PO,1,1,2023,10,2023-10,"BIOT-121.12 N4008422F4366/N4008421R0079 X012 EPROJECT 1575276 REPLACE AC UNITS, UNACCOMPANIED PERSONNEL HOURSING (UPH) 28"
RFPO-5193-E6801-5,23 Oct 2023,PO for Hinged Dust Cover UNIV bl,Aklaniat Technologies LTD,28622.469999999998,SAR,7632.66,7632.66,4293.371,1144.9,32915.8405,8777.56,5193,RFPO-5193-E6801,E6801,MACRO,Electrical,Electrical,5,True,Change Order,5,5,2023,10,2023-10,"(KSA 126) W912ER21C0014 KHAMIS SIMULATOR FACILITY, KSA"
RFPO-1005-V7137-1,23 Oct 2023,PO for  Workbench with Hardwood Top  - VIDMAR WORKSTATION - AS PER ATTACHED APPROVED QUOTATION AND DRAWING,SWS VidmarLista,42146.94,USD,42146.94,42146.94,0.0,0,42146.94,42146.94,1005,RFPO-1005-V7137,V7137,MICRON,Misc.,Various,1,False,Base PO,1,1,2023,10,2023-10,Transportation Of Expansion Joints From China To Nepal
RFPO-1005-V7139-1,23 Oct 2023,PO for Supplying materials for the Rip-rap material work according to the required specifications from the crusher to the work site in the project,Gulf Inshaa General Contracting Est,5508.0,SAR,1468.8,1468.8,826.2,220.32,6334.2,1689.12,1005,RFPO-1005-V7139,V7139,MICRON,Misc.,Various,1,False,Base PO,1,1,2023,10,2023-10,Transportation Of Expansion Joints From China To Nepal
