poNumber,poDate,poName,supplier,entity,project,material,materialCode,value,currency,year,month,mainOrderId,orderId,poType
RFPO-7039-V40017-1,04 Jun 2025,PO for Anchor bolts and Plumbing support,Isam Kabbani Trading LLC,MVL USA JV LLC,PO for Anchor bolts and Plumbing support,Various,Various,2347.88,USD,2025,6,7039,RFPO-7039-V40017,Base PO
RFPO-5532-V40072-1,04 Jun 2025,PO for EXHAUST FAN  HS CODE:  8414609090,"ShanDong JinDun Energy Conservation&Environmental Protection Equipment Co., Ltd.",MVL USA JV LLC,PO for EXHAUST FAN  HS CODE:  8414609090,Various,Various,2838.0,USD,2025,6,5532,RFPO-5532-V40072,Base PO
RFPO-7039-V40018-1,04 Jun 2025,PO for PULLING IRON,Crossweld Metal Trading Co.LLC,MVL USA JV LLC,PO for PULLING IRON,Various,Various,13710.08,USD,2025,6,7039,RFPO-7039-V40018,Base PO
RFPO-6705-V40090-1,04 Jun 2025,PO for COMMON NAIL,Tsang Brothers Corporation,MACRO,PO for COMMON NAIL,Various,Various,360.0,USD,2025,6,6705,RFPO-6705-V40090,Base PO
RFPO-6705-V40089-1,04 Jun 2025,PO for Spray Paint,HOME DEPOT USA,MACRO,PO for Spray Paint,Various,Various,399.9,USD,2025,6,6705,RFPO-6705-V40089,Base PO
RFPO-7139-E6805-1,04 Jun 2025,"PO for Panel Boards, Distribution Boards and Main DB-LSA Facility",AL GHANDI SWITCHGEARS INDUSTRY,MACRO,"PO for Panel Boards, Distribution Boards and Main DB-LSA Facility",Electrical,Electrical,66792.77,USD,2025,6,7139,RFPO-7139-E6805,Base PO
RFPO-7139-E6804-1,04 Jun 2025,PO for Panel Distribution Board -COSA Facility,AL GHANDI SWITCHGEARS INDUSTRY,MACRO,PO for Panel Distribution Board -COSA Facility,Electrical,Electrical,4226.11,USD,2025,6,7139,RFPO-7139-E6804,Base PO
RFPO-7139-M4006-1,04 Jun 2025,PO for AIR COMPRESSOR,"HANGZHOU CAIFULL PRECISION MACHINERY CO., LTD",MVL USA JV LLC,PO for AIR COMPRESSOR,Mechanical,Mechanical,15714.0,USD,2025,6,7139,RFPO-7139-M4006,Base PO
RFPO-7139-S9031-1,04 Jun 2025,PO for Heavy Duty Canopy with heavy-duty rope and U bolt,"Foshan LiTong FanPeng Co., LTD",MVL SOLUTIONS,PO for Heavy Duty Canopy with heavy-duty rope and U bolt,Services,Services,2522.14,USD,2025,6,7139,RFPO-7139-S9031,Base PO
RFPO-7414-P4800-1,04 Jun 2025,PO for Personal Protective Equipment (PPE) for projects in Lebanon,FARNAS GENERAL TRADING LLC,MACRO,PO for Personal Protective Equipment (PPE) for projects in Lebanon,Protection,Protection,850.37,USD,2025,6,7414,RFPO-7414-P4800,Base PO
RFPO-5829-V40031-1,04 Jun 2025,PO for Candor Procurement Support - SUPPLY OF DOWEL BARS,Unitech Di Pipes & Fittings Mfg. LLC,MVL USA JV LLC,PO for Candor Procurement Support - SUPPLY OF DOWEL BARS,Various,Various,10043.87,USD,2025,6,5829,RFPO-5829-V40031,Base PO
RFPO-7039-V40019-1,04 Jun 2025,PO for Cable Rack,"Underground Devices, Inc.",MVL USA JV LLC,PO for Cable Rack,Various,Various,305360.0,USD,2025,6,7039,RFPO-7039-V40019,Base PO
RFPO-5829-R1509-1,04 Jun 2025,PO for Nissan Sunny 1.5L SV SY2 2023 ExFleet - 3 months rental,Diamondlease LLC,FIRESTOP,PO for Nissan Sunny 1.5L SV SY2 2023 ExFleet - 3 months rental,Rental,Rental,1351.94,USD,2025,6,5829,RFPO-5829-R1509,Base PO
RFPO-5829-E6818A-1,03 Jun 2025,PO for LV Cables,Dubai Cable Company (Private) Limited,MACRO,PO for LV Cables,Electrical,Electrical,1081037.0,USD,2025,6,5829,RFPO-5829-E6818A,Base PO
RFPO-7139-M4005-1,03 Jun 2025,PO for TRAILER GVWR 12000 - FAW-6K-20D -,"Kaufman Trailers, LLC",MVL USA JV LLC,PO for TRAILER GVWR 12000 - FAW-6K-20D -,Mechanical,Mechanical,5720.0,USD,2025,6,7139,RFPO-7139-M4005,Base PO
RFPO-6746-M4106-1,03 Jun 2025,PO for Additional PVC Fittings,Harrington Industrial Plastics LLC,MW-OCS,PO for Additional PVC Fittings,Mechanical,Mechanical,3147.84,USD,2025,6,6746,RFPO-6746-M4106,Base PO
