RowNo,PONumber,PODate,POName,Supplier,Entity,Project,Material,Discipline,Value,Currency,Year,Month,SourceTab,OriginalSource
47,RFPO-1005-V7263-2,08 Jan 2026,PO for Ductile Iron Pipes & fittings,Cimmaron International Corporation,MICRON,SUPPLY OF FRP PIPES,Fit Out Project,Construction,26544.46,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
48,RFPO-5829-R1512-1,07 Jan 2026,"PO for Hydraulic Crane, 100 Ton Rough Terrain, standard main boom  - Agreement No.: 2EC2501138",JOHNSON ARABIA LLC,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,19061.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
49,RFPO-5829-R1512-2,07 Jan 2026,"PO for Hydraulic Crane, 100 Ton Rough Terrain, standard main boom  - Agreement No.: 2EC2501138",JOHNSON ARABIA LLC,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,19605.6,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
50,RFPO-7139-V40064-2,07 Jan 2026,PO for Trench Boxes with Accessories,ALLEN TRENCH SAFETY CORPORATION,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,34985.55,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
51,RFPO-5829-V40039-1,07 Jan 2026,PO for Supply of ductile iron (DI) manhole covers and frames as per approved submittal,Unitech Di Pipes & Fittings Mfg. LLC,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,34833.39,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
52,RFPO-6705-V40005-3,07 Jan 2026,NEW UNIT SUBSTATION & PRIMARY SELECTIVE SWITCHES,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,173389.43,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
53,RFPO-5829-V40040-1,07 Jan 2026,PO for Candor - Supply of Basket Assembly 10mm Dia Round Rod L=1m (Uncoated)- Ref: UDIP/UAE/18102024/CANDOR/7174 REV04,Unitech Di Pipes & Fittings Mfg. LLC,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,14086.62,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
54,RFPO-7878-V40003-1,07 Jan 2026,PO for Expansion and Buffer Tanks,INTEGRATED CONTRACTING SUPPLIERS,MVL USA JV LLC,,Mechanical Items,Mechanical,8957.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
55,RFPO-6705-A5301-1,06 Jan 2026,PO for Paints & coatings for Building 729,BM Middle East FZC,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,2212.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
56,RFPO-7139-E6823-1,06 Jan 2026,PO for PVC nonmetallic conduits (CANTEX),TIC LIGHT ELECTRICAL CORP,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,7116.68,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
57,RFPO-7212-V40019-1,06 Jan 2026,PO for Nitrogen Generator & Air Compressor,"South-Tek Systems, LLC","MVL USA, INC","ORD-7212 JPN-143 W912HV24C0010 FY23 OMA, Convert Vehicle Storage Warehouse, B122-S1",Building Materials,Construction,40826.8,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
