orderId,poCount,totalValueUSD,poNumbers,mainOrderId
7115,3,646500.0,RFPO-5532-M4021-1; RFPO-5532-M4021-2; RFPO-5532-M4021-3,5532
6700,3,236500.0,RFPO-1005-V7143-1; RFPO-1005-V7143-2; RFPO-1005-V7143-3,1005
6823,3,629317.53,RFPO-5153-C6054-1; RFPO-5153-C6054-2; RFPO-5153-C6054-3,5153
6397,3,94940.79,RFPO-5193-A5204-1; RFPO-5193-A5204-2; RFPO-5193-A5204-3,5193
6103,3,2918.99,RFPO-1569-O39-1; RFPO-1569-O39-2; RFPO-1569-O39-3,1569
5889,3,23907.42,RFPO-1569-S9074-1; RFPO-1569-S9074-2; RFPO-1569-S9074-3,1569
4428,3,1553786.56,RFPO-3742-V4255-1; RFPO-3742-V4255-2; RFPO-3742-V4255-3,3742
4961,3,292101.36,RFPO-3734-V4257A-1; RFPO-3734-V4257A-2; RFPO-3734-V4257A-3,3734
5072,3,115055.36,RFPO-3734-V4351-1; RFPO-3734-V4351-2; RFPO-3734-V4351-3,3734
4694,3,102450.0,PO-1005-E7030-1; PO-1005-E7030-2; PO-1005-E7030-3,1005
4335,3,64760.0,PO-1005-E7029-1; PO-1005-E7029-2; PO-1005-E7029-3,1005
2693,3,1272.98,RFPO-2394-T1000-1; RFPO-2394-T1000-2; RFPO-2394-T1000-3,2394
1571,3,106739.28,PO-1569-V4251-1; PO-1569-V4251-2; PO-1569-V4251-3,1569
1161,3,268656.72,PO-1005-V6863-1; PO-1005-V6863-2; PO-1005-V6863-3,1005
1121,3,45037.51,PO-1005-M4102-1; PO-1005-M4102-2; PO-1005-M4102-3,1005
977,3,4042.77,PO-315-1534-1; PO-315-1534-2; PO-315-1534-3,0
776,3,5162395.14,RFPO-637-1260-1; RFPO-637-1260-2; RFPO-637-1260-3,637
8492,2,10050.72,RFPO-7139-V40086-1; RFPO-7139-V40086-2,7139
8304,2,2619.16,RFPO-5532-M4050-1; RFPO-5532-M4050-2,5532
8329,2,184338.95,RFPO-6705-V40161-1; RFPO-6705-V40161-2,6705
8371,2,1017.29,RFPO-6705-A5202-1; RFPO-6705-A5202-2,6705
8361,2,38665.76,RFPO-5829-R1512-1; RFPO-5829-R1512-2,5829
8359,2,68088.3,RFPO-7139-V40064-1; RFPO-7139-V40064-2,7139
8321,2,3345.9,RFPO-6705-V4362-1; RFPO-6705-V4362-2,6705
8008,2,67346.21,RFPO-7139-V40036-1; RFPO-7139-V40036-2,7139
8306,2,1414.62,RFPO-6705-V40159-1; RFPO-6705-V40159-2,6705
8223,2,244648.0,RFPO-7616-M4001-1; RFPO-7616-M4001-2,7616
8193,2,29952.34,RFPO-5829-S9105-1; RFPO-5829-S9105-2,5829
8277,2,1559.0,RFPO-5532-M4048-1; RFPO-5532-M4048-2,5532
8274,2,3188.35,RFPO-5532-M4106-1; RFPO-5532-M4106-2,5532
7794,2,3597445.26,RFPO-7039-E6802B-1; RFPO-7039-E6802B-2,7039
8212,2,466418.0,RFPO-6705-V40149-1; RFPO-6705-V40149-2,6705
8027,2,42560.0,RFPO-5503-A5205-1; RFPO-5503-A5205-2,5503
8211,2,6146.41,RFPO-6705-E6836A-1; RFPO-6705-E6836A-2,6705
7713,2,5857.24,RFPO-6705-V40070-1; RFPO-6705-V40070-2,6705
7569,2,245712.32,RFPO-6705-E6804-1; RFPO-6705-E6804-2,6705
8126,2,4897.11,RFPO-6705-V40136-1; RFPO-6705-V40136-2,6705
